,stance,age,gender,prompt,output
0,Pro-Energy,Young Adult (18-24),Male,"Generate a message in 50 words encouraging Young Adult (18-24), Male to adopt Pro-Energy.","""🏗️Attention Young Men!🏗️ Power our future – support oil, gas, & coal. These industries offer high-paying jobs, energy independence, & power to our communities. Let's keep America running strong! 🇺🇸💸🔥 #ProEnergy #EnergyIndependence"""
1,Pro-Energy,Young Adult (18-24),Female,"Generate a message in 50 words encouraging Young Adult (18-24), Female to adopt Pro-Energy.","""🛢️ Empower your future! Oil, gas, & coal drive our world, creating jobs & affordability. Be a part of innovation, from fracking to clean coal tech. Let's fuel progress together! 🌐 #ProEnergy #EnergyIndependence"""
2,Pro-Energy,Early Working Age Group (25-44),Male,"Generate a message in 50 words encouraging Early Working Age Group (25-44), Male to adopt Pro-Energy.","""🛢️ Power our future together! Men aged 25-44, your energy and skills can fuel our nation. Join the oil, gas, and coal industries for high-paying careers, ensuring energy independence and a brighter tomorrow. Your hard work will power homes, hospitals, and schools. Be a pro-energy hero today!"""
3,Pro-Energy,Early Working Age Group (25-44),Female,"Generate a message in 50 words encouraging Early Working Age Group (25-44), Female to adopt Pro-Energy.","""🛢️ Empower progress! Women aged 25-44, let's fuel our future together. By supporting oil, gas, and coal industries, you're backing energy independence, job creation, and affordable living. Join us in driving economic growth and prosperity! 💥"""
4,Pro-Energy,Late Working Age Group (45-64),Male,"Generate a message in 50 words encouraging Late Working Age Group (45-64), Male to adopt Pro-Energy.","""🛢️ Men 45-64, your experience drives our economy. Stand with the oil, gas, and coal industries. Support fracking for American jobs and energy independence. Let's power our future together! 🇺🇸"""
5,Pro-Energy,Late Working Age Group (45-64),Female,"Generate a message in 50 words encouraging Late Working Age Group (45-64), Female to adopt Pro-Energy.","""Women aged 45-64, your experience drives society. Pro-energy jobs in oil, gas, and coal offer stability, high wages, and opportunities to support your community and family. Join us in powering the nation's future while ensuring energy security for all."""
6,Pro-Energy,Senior (65+),Male,"Generate a message in 50 words encouraging Senior (65+), Male to adopt Pro-Energy.","""Senior, your experience knows the reliability of traditional energy. Stand with oil, gas, and coal to keep America powered and independent. Support pro-energy policies for stable, affordable living!"""
7,Pro-Energy,Senior (65+),Female,"Generate a message in 50 words encouraging Senior (65+), Female to adopt Pro-Energy.","""Seniors, your experience drives progress! Support pro-energy for affordable warmth, jobs for grandkids, and economic stability. Let's keep lights on, homes heated, and America strong!"""
8,Clean-Energy,Young Adult (18-24),Male,"Generate a message in 50 words encouraging Young Adult (18-24), Male to adopt Clean-Energy.","""🌎 Hey there! Time to recharge your future! Ditch dirty fossil fuels. Go green, go clean! Solar, wind, electric - that's where the power's at. Be a game-changer, not a fossil! 💪🌍 #CleanEnergy #PowerUp"""
9,Clean-Energy,Young Adult (18-24),Female,"Generate a message in 50 words encouraging Young Adult (18-24), Female to adopt Clean-Energy.",""" empower change! 🌿 As young women, we can champion a cleaner future. Embrace renewable energy, say no to fossil fuels. It's cool to care, so let's ditch dirty energy and go green! 💚 Your choices today shape a sustainable tomorrow. #CleanEnergyQueen"""
10,Clean-Energy,Early Working Age Group (25-44),Male,"Generate a message in 50 words encouraging Early Working Age Group (25-44), Male to adopt Clean-Energy.","""Men aged 25-44, let's fuel the future responsibly! Embrace clean energy—go solar, wind, or hydro. Less pollution, more jobs, stable energy bills. It's a win-win! Ditch fossil fuels, be a clean energy champ. Our kids & planet will thank you!"""
11,Clean-Energy,Early Working Age Group (25-44),Female,"Generate a message in 50 words encouraging Early Working Age Group (25-44), Female to adopt Clean-Energy.","""Empower change, switch to clean energy! As women aged 25-44, we can lead the future. Let's ditch fossil fuels, embrace renewables, and protect our planet. It's time to go green for our kids and community. Be the spark!"""
12,Clean-Energy,Late Working Age Group (45-64),Male,"Generate a message in 50 words encouraging Late Working Age Group (45-64), Male to adopt Clean-Energy.","""Men 45-64: Lead our green future! Transition your skills to clean energy. Boost your career, save the planet. Solar, wind, hydro – it's where the jobs are. Make your next chapter count!"""
13,Clean-Energy,Late Working Age Group (45-64),Female,"Generate a message in 50 words encouraging Late Working Age Group (45-64), Female to adopt Clean-Energy.",""" Empower your future! Women 45-64, let's lead the clean energy transition. Investing in renewables protects our planet and secures a sustainable tomorrow for us and the next generation. Every switch matters – join us today!"""
14,Clean-Energy,Senior (65+),Male,"Generate a message in 50 words encouraging Senior (65+), Male to adopt Clean-Energy.","""Sir, you've seen the world change. It's time to lead again, for your grandkids' future. Embrace clean energy – it's sustainable, creates jobs, and lowers bills. Let's leave a cleaner world. Your experience can drive this change."""
15,Clean-Energy,Senior (65+),Female,"Generate a message in 50 words encouraging Senior (65+), Female to adopt Clean-Energy.","""Empower a cleaner tomorrow! As a wise senior, you've seen the world change. Be a beacon for the next generation by embracing renewable energy. Your choice today, from solar to wind, ensures a sustainable future for your grandchildren. Join the clean-energy movement now!"""
